iter	Passed	Remaining
0	48	48097
1	86	42962
2	128	42609
3	167	41802
4	205	40887
5	242	40237
6	277	39364
7	315	39063
8	347	38269
9	381	37775
10	415	37316
11	454	37396
12	510	38740
13	550	38800
14	588	38654
15	628	38637
16	660	38217
17	702	38342
18	751	38790
19	788	38616
20	825	38498
21	868	38603
22	909	38637
23	945	38433
24	983	38350
25	1036	38821
26	1078	38868
27	1119	38870
28	1158	38774
29	1196	38694
30	1234	38600
31	1273	38525
32	1310	38413
33	1341	38103
34	1369	37761
35	1399	37467
36	1440	37501
37	1477	37397
38	1516	37364
39	1552	37257
40	1590	37202
41	1627	37114
42	1658	36920
43	1697	36892
44	1737	36867
45	1773	36772
46	1810	36711
47	1847	36649
48	1884	36566
49	1915	36389
50	1954	36364
51	1991	36299
52	2030	36279
53	2071	36291
54	2105	36182
55	2142	36120
56	2178	36043
57	2216	36004
58	2255	35973
59	2298	36017
60	2341	36040
61	2376	35951
62	2413	35894
63	2452	35871
64	2495	35897
65	2532	35841
66	2565	35719
67	2598	35621
68	2637	35588
69	2674	35535
70	2715	35537
71	2753	35490
72	2789	35421
73	2821	35305
74	2856	35234
75	2892	35170
76	2919	34995
77	2948	34848
78	2973	34670
79	3002	34526
80	3028	34361
81	3057	34228
82	3086	34104
83	3115	33974
84	3144	33849
85	3173	33729
86	3202	33602
87	3227	33452
88	3256	33329
89	3285	33221
90	3320	33171
91	3351	33073
92	3379	32962
93	3407	32846
94	3438	32755
95	3464	32621
96	3493	32524
97	3522	32416
98	3552	32327
99	3580	32225
100	3607	32107
101	3637	32021
102	3665	31920
103	3691	31805
104	3721	31724
105	3752	31647
106	3779	31545
107	3804	31425
108	3833	31334
109	3862	31249
110	3891	31166
111	3921	31088
112	3949	30998
113	3978	30922
114	4009	30853
115	4037	30771
116	4067	30695
117	4095	30608
118	4124	30537
119	4150	30433
120	4179	30365
121	4209	30295
122	4240	30233
123	4272	30181
124	4302	30115
125	4332	30050
126	4364	30002
127	4393	29928
128	4421	29850
129	4450	29782
130	4478	29705
131	4507	29640
132	4537	29580
133	4568	29523
134	4595	29447
135	4625	29385
136	4655	29323
137	4684	29259
138	4714	29200
139	4743	29138
140	4772	29075
141	4801	29013
142	4826	28926
143	4855	28864
144	4883	28795
145	4913	28741
146	4942	28679
147	4970	28615
148	5007	28601
149	5045	28588
150	5075	28536
151	5102	28468
152	5132	28414
153	5163	28366
154	5191	28299
155	5223	28259
156	5253	28208
157	5285	28167
158	5316	28121
159	5349	28082
160	5375	28011
161	5403	27952
162	5434	27905
163	5468	27874
164	5496	27815
165	5529	27781
166	5561	27738
167	5590	27687
168	5621	27639
169	5650	27586
170	5678	27528
171	5706	27470
172	5734	27414
173	5762	27353
174	5788	27289
175	5817	27236
176	5844	27176
177	5873	27123
178	5904	27083
179	5934	27034
180	5963	26982
181	5991	26930
182	6021	26883
183	6051	26835
184	6081	26790
185	6116	26766
186	6146	26722
187	6183	26709
188	6229	26731
189	6264	26704
190	6294	26662
191	6322	26606
192	6352	26562
193	6382	26518
194	6414	26479
195	6444	26435
196	6473	26384
197	6500	26331
198	6529	26282
199	6559	26236
200	6584	26175
201	6615	26132
202	6653	26123
203	6699	26139
204	6730	26100
205	6758	26050
206	6787	26002
207	6813	25942
208	6842	25897
209	6872	25854
210	6902	25810
